,Description,Release Date,Director Name,Rating,Duration,Genre,Stars,Filming Dates
Psycho ,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",not known,Olivier Nakache,8.5/10,1h 49min,"Biography, Comedy, Drama","['Anthony Perkins', 'Janet Leigh', 'Vera Miles']",11 November 1959 - January 1960
Gladiator ,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,7 May 2000,Alfred Hitchcock,8.5/10,2h 35min,"Horror, Mystery, Thriller","['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']",18 January 1999 - 29 May 1999
City Lights ,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",8 July 2007,Ridley Scott,8.5/10,1h 27min,"Action, Adventure, Drama","['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee']",31 December 1927 - 22 January 1931
The Departed ,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,8 October 2006,Charles Chaplin,8.5/10,2h 31min,"Comedy, Drama, Romance","['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']",21 April 2005 - 27 August 2005
Untouchable ,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",27 May 2012,Martin Scorsese,8.5/10,1h 52min,"Crime, Drama, Thriller","['François Cluzet', 'Omar Sy', 'Anne Le Ny']",not known
Whiplash ,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,12 October 2014,Damien Chazelle,8.5/10,1h 46min,"Drama, Music","['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']",not known
The Prestige ,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",22 October 2006,Sergio Leone,8.5/10,2h 10min,Western,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson']",16 January 2006 - 9 April 2006
Grave of the Fireflies ,A young boy and his little sister struggle to survive in Japan during World War II.,12 August 2018,Christopher Nolan,8.5/10,1h 29min,"Drama, Mystery, Sci-Fi","['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi']",not known
Once Upon a Time in the West ,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,not known,Anthony Russo,8.5/10,2h 45min,"Action, Adventure, Drama","['Henry Fond', 'Charles Bronson', 'Claudia Cardinale']",April 1968 - July 1968
Hamilton ,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",not known,Michael Curtiz,8.6/10,2h 40min,"Drama, Romance, War","['Lin-Manuel Mirand', 'Phillipa Soo', 'Leslie Odom Jr.']",26 June 2016 - 28 June 2016
Casablanca ,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,12 April 1992,Isao Takahat,8.5/10,1h 42min,"Animation, Drama, War","['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid']",25 May 1942 - 3 August 1942
Cinema Paradiso ,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,4 February 1990,Alfred Hitchcock,8.5/10,2h 35min,"Mystery, Thriller","['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili']",8 May 1988 - August 1988
Rear Window ,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,not known,Giuseppe Tornatore,8.4/10,1h 52min,Drama,"['James Stewart', 'Grace Kelly', 'Wendell Corey']",27 November 1953 - 13 January 1954
Alien ,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",28 May 1979,Ridley Scott,8.4/10,1h 57min,"Horror, Sci-Fi","['Sigourney Weaver', 'Tom Skerritt', 'John Hurt']",5 July 1978 - 2 October 1978
Apocalypse Now ,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,19 August 1979,Steven Spielberg,8.4/10,2h 27min,"Action, Adventure","['Martin Sheen', 'Marlon Brando', 'Robert Duvall']",March 1976 - 21 May 1977
Memento ,A man with short-term memory loss attempts to track down his wife's murderer.,18 March 2001,Christopher Nolan,8.4/10,1h 53min,"Mystery, Thriller","['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']",7 September 1999 - 1 October 1999
The Great Dictator ,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,not known,Francis Ford Coppol,8.4/10,2h 5min,"Drama, Mystery, War","['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie']",9 September 1939 - 2 October 1940
Raiders of the Lost Ark ,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",14 June 1981,Charles Chaplin,8.4/10,1h 55min,"Comedy, Drama, War","['Harrison Ford', 'Karen Allen', 'Paul Freeman']",23 June 1980 - October 1980
Django Unchained ,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",30 December 2012,Florian Henckel von Donnersmarck,8.4/10,2h 45min,"Drama, Mystery, Thriller","['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']",25 January 2012 - 27 July 2012
The Lives of Others ,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",11 February 2007,Anthony Russo,8.4/10,2h 17min,"Action, Adventure, Sci-Fi","['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch']",28 October 2004 - 21 December 2004
Joker ,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",6 October 2019,Quentin Tarantino,8.5/10,2h 2min,"Drama, Western","['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']",10 September 2018 - 3 December 2018
Paths of Glory ,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",not known,Bob Persichetti,8.4/10,1h 28min,"Animation, Action, Adventure","['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou']",18 March 1957 - May 1957
WALL·E ,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",29 June 2008,Stanley Kubrick,8.4/10,1h 38min,"Drama, Horror","['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']",not known
The Shining ,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",26 May 1980,Stanley Kubrick,8.4/10,2h 26min,"Drama, War","['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']",1 May 1978 - April 1979
Avengers: Infinity War ,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,29 April 2018,Andrew Stanton,8.4/10,2h 29min,"Animation, Adventure, Family","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",23 January 2017 - 14 July 2017
Sunset Blvd. ,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,13 May 2018,Billy Wilder,8.4/10,1h 50min,"Drama, Film-Noir","['William Holden', 'Gloria Swanson', 'Erich von Stroheim']",11 April 1949 - 5 January 1950
Witness for the Prosecution ,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,not known,Stanley Kubrick,8.4/10,1h 56min,Comedy,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton']",10 June 1957 - 20 August 1957
Oldboy ,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",27 March 2005,Hayao Miyazaki,8.4/10,2h,"Animation, Adventure, Fantasy","['Choi Min-sik', 'Yoo Ji-Tae', 'Hye-jeong Kang']",12 May 2003 - 2 October 2003
Spider-Man: Into the Spider-Verse ,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",16 December 2018,Chan-wook Park,8.4/10,1h 57min,"Action, Drama, Mystery","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld']",not known
Princess Mononoke ,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",31 October 1999,Billy Wilder,8.4/10,2h 14min,"Crime, Drama, Mystery","['Yôji Matsud', 'Yuriko Ishid', 'Yûko Tanak']",August 1994 - 16 June 1997
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,17 July 1994,Christopher Nolan,8.4/10,1h 35min,"Action, Adventure","['Peter Sellers', 'George C. Scott', 'Sterling Hayden']",28 January 1963 - 23 April 1963
The Dark Knight Rises ,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",22 July 2012,Sergio Leone,8.4/10,2h 44min,"Crime, Drama","['Christian Bale', 'Tom Hardy', 'Anne Hathaway']",6 May 2011 - 14 November 2011
